label,unique_id,ros_bag_name,measurement_day,split,field_center_latitude,field_center_longitude,cultivar,pin_color,weight_g_inctack,x1_length_mm,x2_width_mm,x3_depth_mm,x1_circ_cm,x2_circ_cm,volume_ml,volume_metashape,note
B4R2-1,32,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,red,88,69.3,43.2,41.4,19,14.5,80,,
B4R2-2,33,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,blue,76,81.4,45.4,34.1,20,13.5,70,,
B4R2-3,34,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,green,92,80.7,49.6,35.1,20,15,80,,
B4R2-4,35,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,yellow,116,92.4,45.6,41.3,23.5,15,100,,
B4R2-5,36,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,white,96,75,47.8,43,19,15.5,80,,
B1R2-1,37,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,red,196,114.3,56.1,43.5,27.5,17,180,,
B1R2-2,38,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,blue,110,82.6,46.9,41.9,22,15,100,,
B1R2-3,39,field_okadasan_sarabetsu_04,04-09-2023,val,42.603157,143.171165,MayQueen,green,48,59.6,37,33.5,15,12,40,,
B1R2-4,40,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,yellow,116,94.4,48.7,41.4,23,15,105,,
B1R2-5,41,field_okadasan_sarabetsu_04,04-09-2023,val,42.603157,143.171165,MayQueen,white,104,76,48,44.7,20.5,16,95,,
B2R3-1,42,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,red,222,117,60,55.5,29.5,19,215,,ros2 bag files with skipping frames
B2R3-2,43,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,blue,90,79.3,42.4,39.8,20.5,14.5,75,,ros2 bag files with skipping frames
B2R3-3,44,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,green,136,88.4,47.3,43,22.5,15,130,,ros2 bag files with skipping frames
B2R3-4,45,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,yellow,42,61.8,35.2,32.4,16,12,30,,ros2 bag files with skipping frames
B2R3-5,46,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,white,54,66.7,37.7,30.2,17,12,50,,ros2 bag files with skipping frames
B4R3-1,47,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,red,70,72.3,43.3,38.4,18.5,13.5,65,,ros2 bag files with skipping frames
B4R3-2,48,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,blue,200,107.2,55,50.3,27.5,18,200,,ros2 bag files with skipping frames
B4R3-3,49,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,green,106,71.7,49.4,49.1,20,16,100,,ros2 bag files with skipping frames
B4R3-4,50,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,yellow,362,163,62.8,53.8,37.5,19,370,,ros2 bag files with skipping frames
B4R3-5,51,field_okadasan_sarabetsu_04,04-09-2023,train,42.603157,143.171165,MayQueen,white,104,80.6,48.6,40.5,21,15,100,,ros2 bag files with skipping frames
R1-1,52,20230914_field_okadasan_sarabetsu_02,14-09-2023,val,42.610316,143.156753,Sayaka,black,84,63,50.2,43.2,,,80,80,
R1-10,53,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,purple,74,54.5,49.3,42.8,,,65,68,
R1-2,54,20230914_field_okadasan_sarabetsu_02,14-09-2023,test,42.610316,143.156753,Sayaka,blue,234,104.1,69.1,53.3,,,230,217,
R1-3,55,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,red,154,73.4,63.1,54.4,,,150,143,
R1-4,56,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,96,59.4,56.1,44.5,,,95,89,
R1-5,57,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,36,41.9,40.5,36.6,,,30,37,
R1-6,58,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,white,144,80.1,60.4,49.3,,,140,133,
R1-7,59,20230914_field_okadasan_sarabetsu_02,14-09-2023,val,42.610316,143.156753,Sayaka,pink,82,52.4,50,48.5,,,80,76,
R1-8,60,20230914_field_okadasan_sarabetsu_02,14-09-2023,test,42.610316,143.156753,Sayaka,magenta,236,91.7,77.4,59.2,,,230,218,
R1-9,61,20230914_field_okadasan_sarabetsu_02,14-09-2023,val,42.610316,143.156753,Sayaka,green,116,63.8,57.2,49.1,,,110,107,
R2-1,62,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,black,100,59.8,59.9,46.4,,,100,92,
R2-10,63,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,purple,96,60.3,53.4,47.7,,,90,87,
R2-2,64,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,blue,182,88.1,64.2,63,,,180,172,
R2-3,65,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,red,164,75.3,63,55.7,,,155,152,
R2-4,66,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,54,49.9,48.5,37.5,,,45,49,
R2-5,67,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,296,95,77.9,60.9,,,295,274,
R2-6,68,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,white,264,95.8,75.2,59.3,,,260,245,
R2-7,69,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,pink,126,69.3,60.6,49.2,,,120,117,
R2-8,70,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,128,79.4,57.8,49.2,,,120,120,
R2-9,71,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,green,104,62.2,53.9,47.9,,,100,95,
R3-1,72,20230914_field_okadasan_sarabetsu_02,14-09-2023,test,42.610316,143.156753,Sayaka,black,112,70.1,52.2,48.7,,,105,103,
R3-10,73,20230914_field_okadasan_sarabetsu_02,14-09-2023,val,42.610316,143.156753,Sayaka,purple,86,62.3,56.3,39.5,,,80,78,
R3-2,74,20230914_field_okadasan_sarabetsu_02,14-09-2023,val,42.610316,143.156753,Sayaka,blue,94,60.3,53.5,50.4,,,90,86,
R3-3,75,20230914_field_okadasan_sarabetsu_02,14-09-2023,val,42.610316,143.156753,Sayaka,red,106,66.5,60.2,46.8,,,100,97,
R3-4,76,20230914_field_okadasan_sarabetsu_02,14-09-2023,test,42.610316,143.156753,Sayaka,yellow,200,79.1,71.9,55.6,,,200,181,
R3-5,77,20230914_field_okadasan_sarabetsu_02,14-09-2023,test,42.610316,143.156753,Sayaka,cyan,102,67.2,54.1,47,,,100,93,
R3-6,78,20230914_field_okadasan_sarabetsu_02,14-09-2023,val,42.610316,143.156753,Sayaka,white,96,63,54.9,54.3,,,100,91,
R3-7,79,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,pink,90,57.7,56.1,45.9,,,90,82,
R3-8,80,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,370,110.9,79.9,69.6,,,380,340,
R3-9,81,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,green,124,67.3,57.4,49.8,,,120,115,
R4-1,82,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,black,212,87.7,72.6,57.4,,,210,194,
R4-10,83,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,purple,88,61.3,52.5,45.7,,,90,81,
R4-2,84,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,blue,212,90.9,70.6,51.8,,,210,195,
R4-3,85,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,red,194,73.6,67.7,59.3,,,195,179,
R4-4,86,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,58,55,46.3,40.3,,,50,55,
R4-5,87,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,90,57.8,58.5,41.8,,,80,80,
R4-6,88,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,white,150,76.6,60.9,55.1,,,140,137,
R4-7,89,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,pink,126,73.6,60.8,48.1,,,120,118,
R4-8,90,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,176,72,71.3,54.9,,,170,159,
R4-9,91,20230914_field_okadasan_sarabetsu_02,14-09-2023,train,42.610316,143.156753,Sayaka,green,128,75.2,59.4,48.9,,,120,118,
R5-1,92,20230914_field_okadasan_sarabetsu_03,14-09-2023,test,42.610316,143.156753,Sayaka,black,106,70.9,55.1,54.3,,,100,99,
R5-10,93,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,purple,168,79.9,65.5,50.3,,,170,158,
R5-2,94,20230914_field_okadasan_sarabetsu_03,14-09-2023,val,42.610316,143.156753,Sayaka,blue,218,83.9,70.9,57.8,,,220,204,
R5-3,95,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,red,214,84.2,66.3,59.1,,,210,198,
R5-4,96,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,62,56.8,47.2,39.4,,,50,60,
R5-5,97,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,58,48.8,46.5,40.8,,,45,53,
R5-6,98,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,white,128,70.8,63,48.9,,,120,120,
R5-7,99,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,pink,98,65.1,54.6,46.7,,,95,92,
R5-8,100,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,134,71.3,63.7,46.8,,,130,125,
R5-9,101,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,green,128,63.9,70.9,48.4,,,120,119,
R6-1,102,20230914_field_okadasan_sarabetsu_03,14-09-2023,test,42.610316,143.156753,Sayaka,black,140,79.9,57.3,50.3,,,140,126,
R6-10,103,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,purple,88,60.3,52.7,43.7,,,80,76,
R6-2,104,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,blue,134,73.4,61.7,47,,,125,119,
R6-3,105,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,red,230,85.3,76.9,52.5,,,220,208,
R6-4,106,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,64,47.5,44,42.7,,,50,53,
R6-5,107,20230914_field_okadasan_sarabetsu_03,14-09-2023,test,42.610316,143.156753,Sayaka,cyan,188,81.2,65.4,50.7,,,190,170,
R6-6,108,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,white,116,70.3,56.9,44.6,,,110,100,
R6-7,109,20230914_field_okadasan_sarabetsu_03,14-09-2023,val,42.610316,143.156753,Sayaka,pink,90,61.5,52.5,44.3,,,80,77,
R6-8,110,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,140,71.4,59.3,50.3,,,130,125,
R6-9,111,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,green,206,79.4,71.4,58.2,,,200,185,
R7-1,112,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,black,108,62.9,57.4,44.6,,,100,93,
R7-10,113,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,purple,88,57.3,53.7,42.8,,,90,77,
R7-2,114,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,blue,212,90.1,69.5,52.2,,,210,193,
R7-3,115,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,red,130,68.4,60,49.4,,,120,117,
R7-4,116,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,216,78.3,72.8,57.7,,,210,195,
R7-5,117,20230914_field_okadasan_sarabetsu_03,14-09-2023,test,42.610316,143.156753,Sayaka,cyan,84,60.2,51.4,44.3,,,70,71,
R7-6,118,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,white,310,111.7,75.8,58,,,300,280,
R7-7,119,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,pink,42,46.5,37.1,30.5,,,30,34,
R7-8,120,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,106,60.9,57.2,47.6,,,100,92,
R7-9,121,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,green,182,80.9,67.8,51,,,180,163,
R8-1,122,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,black,192,78.1,65.5,54.1,,,180,172,
R8-10,123,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,purple,156,77.2,63.5,45.7,,,145,139,
R8-2,124,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,blue,78,57.1,50.8,42.2,,,55,67,
R8-3,125,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,red,302,99.6,79.9,61,,,300,278,
R8-4,126,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,106,57.5,56.3,47.7,,,90,91,
R8-5,127,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,328,109.1,75.1,64.2,,,320,302,
R8-6,128,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,white,284,93.6,74.1,62.6,,,280,259,
R8-7,129,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,pink,96,64.8,53.3,42.6,,,90,83,
R8-8,130,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,152,67.9,65.9,51.7,,,140,133,
R8-9,131,20230914_field_okadasan_sarabetsu_03,14-09-2023,val,42.610316,143.156753,Sayaka,green,90,58.2,54.7,46.4,,,80,76,
R9-1,132,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,black,82,62.9,49.8,43.9,,,70,71,
R9-10,133,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,purple,174,67.8,71,59.2,,,180,163,
R9-2,134,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,blue,94,56.7,55.8,43.3,,,80,83,
R9-3,135,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,red,82,53.4,50.4,46.8,,,80,78,
R9-4,136,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,178,78.7,68.8,54.3,,,180,167,
R9-5,137,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,222,100.9,71.2,53.5,,,220,211,
R9-6,138,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,white,150,70.2,66.2,54.5,,,150,140,
R9-7,139,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,pink,104,63.4,52.8,48.7,,,100,97,
R9-8,140,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,120,62.1,65.7,52.3,,,120,112,
R9-9,141,20230914_field_okadasan_sarabetsu_03,14-09-2023,train,42.610316,143.156753,Sayaka,green,108,55,57.5,54.5,,,110,101,
R10-1,142,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,black,200,79.7,71.2,54.1,,,200,187,
R10-10,143,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,purple,98,69.2,54.4,44.9,,,100,93,
R10-2,144,20230914_field_okadasan_sarabetsu_04,14-09-2023,test,42.610316,143.156753,Sayaka,blue,256,95.5,77.6,53.6,,,250,239,
R10-3,145,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,red,130,68.4,60.8,45.4,,,120,122,
R10-4,146,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,130,69.4,58.4,53,,,120,121,
R10-5,147,20230914_field_okadasan_sarabetsu_04,14-09-2023,test,42.610316,143.156753,Sayaka,cyan,204,81.8,67.6,57.8,,,200,188,
R10-6,148,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,white,180,85,64.3,53.1,,,180,170,
R10-7,149,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,pink,170,79.2,59.3,57.2,,,160,160,
R10-8,150,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,244,91.3,67.8,63.8,,,240,227,
R10-9,151,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,green,56,51.3,47,39.6,,,50,53,
R11-1,152,20230914_field_okadasan_sarabetsu_04,14-09-2023,val,42.610316,143.156753,Sayaka,black,152,69.2,66,53.7,,,150,142,
R11-10,153,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,purple,58,49.3,47.5,41.3,,,50,53,
R11-2,154,20230914_field_okadasan_sarabetsu_04,14-09-2023,val,42.610316,143.156753,Sayaka,blue,112,66.7,56.1,48.4,,,115,105,
R11-3,155,20230914_field_okadasan_sarabetsu_04,14-09-2023,val,42.610316,143.156753,Sayaka,red,136,73.7,64.5,45.2,,,140,126,
R11-4,156,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,346,90,83.4,73.7,,,350,317,
R11-5,157,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,334,81.9,85.7,76,,,340,306,
R11-6,158,20230914_field_okadasan_sarabetsu_04,14-09-2023,val,42.610316,143.156753,Sayaka,white,290,91.9,77,69.4,,,290,267,
R11-7,159,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,pink,246,84.3,74.4,61.4,,,240,226,
R11-8,160,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,106,73.6,58.3,43.6,,,105,98,
R11-9,161,20230914_field_okadasan_sarabetsu_04,14-09-2023,train,42.610316,143.156753,Sayaka,green,236,90.8,75.3,59.7,,,230,219,
R12-1,162,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,black,106,67,57.3,45.5,,,110,99,
R12-10,163,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,purple,82,56.1,50.8,45.5,,,90,77,
R12-2,164,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,blue,92,65.9,49.8,47.7,,,95,86,
R12-3,165,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,red,236,92.9,75.8,64.4,,,240,221,
R12-4,166,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,yellow,168,80.6,65.6,54.3,,,160,156,
R12-5,167,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,234,81.8,70.8,65,,,240,215,
R12-6,168,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,white,336,119.5,80.7,62.5,,,345,314,
R12-7,169,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,pink,254,96.8,73,58.5,,,250,234,
R12-8,170,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,396,106.2,87,71.2,,,400,357,
R12-9,171,20230914_field_okadasan_sarabetsu_05,14-09-2023,test,42.610316,143.156753,Sayaka,green,214,81.7,71.5,58.7,,,210,197,
R13-1,172,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,black,92,63.9,53.7,41.2,,,100,86,
R13-10,173,20230914_field_okadasan_sarabetsu_05,14-09-2023,val,42.610316,143.156753,Sayaka,purple,304,111,72.1,55.8,,,305,280,
R13-2,174,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,blue,196,73.3,74.7,64.1,,,200,182,
R13-3,175,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,red,178,87.2,62.3,51.5,,,180,165,
R13-4,176,20230914_field_okadasan_sarabetsu_05,14-09-2023,val,42.610316,143.156753,Sayaka,yellow,188,82.5,70.4,52.4,,,190,174,
R13-5,177,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,cyan,166,76,69.4,49.4,,,170,154,
R13-6,178,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,white,86,52.6,54,52.2,,,90,80,
R13-7,179,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,pink,166,71.9,69.8,54.5,,,170,154,
R13-8,180,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,magenta,494,120.4,91.7,72.6,,,470,458,
R13-9,181,20230914_field_okadasan_sarabetsu_05,14-09-2023,train,42.610316,143.156753,Sayaka,green,294,91.9,77.6,68.4,,,300,272,
